time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0,-20.00000227,19.99999763,3,0.20000001,-1E-08,2E-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-20.00000227,19.99999763,3,0.20000001,-1E-08,2E-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3353686,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,-19.99600005,19.99999763,3,0.20044308,-1E-08,2E-08,0.06580031,0,0,6.44875883,1E-08,-5E-08,302.92105645,5E-07,-2.3E-06,0.99999438,0,0.00335368,0,0,0.64419474,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,-19.99196746,19.99999763,3,0.20344009,-1E-08,2E-08,0.25283798,0,0,12.13063085,2E-08,-9E-08,265.60703439,4.3E-07,-1.96E-06,0.999917,0,0.01288354,0,0,1.22279112,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,-19.98783019,19.99999763,3,0.21126515,-1E-08,2E-08,0.54618588,0,0,17.08652277,3E-08,-1.3E-07,230.31539718,3.6E-07,-1.65E-06,0.99961334,0,0.02780592,0,0,1.72313271,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,-19.98347138,19.99999763,3,0.22590196,-1E-08,2E-08,0.93172582,0,-1E-08,21.35642328,3E-08,-1.6E-07,197.00024159,3E-07,-1.35E-06,0.99887936,0,0.04732886,0,0,2.14371753,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,-19.97873725,19.99999763,3,0.24905978,-1E-08,2E-08,1.39613021,0,-1E-08,24.97940296,4E-08,-1.8E-07,165.61566441,2.4E-07,-1.08E-06,0.99750294,0,0.07062502,0,0,2.48135531,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,-19.97344246,19.99999763,3,0.28218906,-1E-08,2E-08,1.92684368,0,-1E-08,27.99361435,4E-08,-2E-07,136.11576242,1.8E-07,-8.2E-07,0.99530174,0,0.09682174,0,0,2.73293511,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,-19.96737511,19.99999763,3,0.32649674,0,2E-08,2.51206476,0,-2E-08,30.43629194,5E-08,-2.2E-07,108.45463238,1.3E-07,-5.8E-07,0.9921549,0,0.12501461,0,0,2.89742172,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,-19.9603015,19.99999763,3,0.3829611,0,2E-08,3.14072745,1E-08,-2E-08,32.34375211,5E-08,-2.2E-07,82.58637108,8E-08,-3.7E-07,0.98802356,0,0.15430312,0,0,2.97743392,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,-19.95197049,19.99999763,3,0.4523463,0,2E-08,3.80248292,1E-08,-3E-08,33.75139322,5E-08,-2.3E-07,58.4650753,4E-08,-1.6E-07,0.98295625,0,0.18383963,0,0,2.97990041,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,-19.9421177,19.99999763,3,0.53521655,0,2E-08,4.48768112,1E-08,-3E-08,34.69369554,5E-08,-2.3E-07,36.04484181,0,2E-08,0.97707867,0,0.21287855,0,0,2.91562023,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,-19.93046936,19.99999763,3,0.63194989,0,2E-08,5.18735244,1E-08,-4E-08,35.20422128,5E-08,-2.3E-07,15.2797674,-4E-08,1.9E-07,0.97057148,0,0.24081322,0,0,2.79794989,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,-19.91674588,19.99999763,3,0.74275161,0,2E-08,5.8931893,1E-08,-4E-08,35.3156146,5E-08,-2.2E-07,-3.87605117,-7E-08,3.4E-07,0.963643,0,0.26719314,0,0,2.64110426,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,-19.90066517,19.99999763,3,0.86766733,0,2E-08,6.59752785,1E-08,-5E-08,35.05960159,5E-08,-2.2E-07,-21.4685171,-1E-07,4.8E-07,0.95650342,0,0.29172112,0,0,2.45858272,0,0,0,0,0,0,0,0,0,0,0,0,0
